id,molecule_id,molecule_canonical_name,intended_target_gene,evidence_grade,source_document_id,source_location,old_offtarget_gene_symbol,new_offtarget_gene_symbol,old_offtarget_transcript_id,new_offtarget_transcript_id,decision_rule,grounding_quote
1,4,SNA-modified GalNAc-siRNA panel from PMID 41994868,TTR,A,1031,Results > Analysis of miRNA-like off-target activity in a luciferase reporter assay; paragraph 3,,unspecified,,,no_match,"The greatest impact of SNA modification was observed when included at position g7 in si-50, with a relative off-target IC50 increase of ~260-fold over the parent si-47."
2,5,siVIM-270 chemical modification panel from PMID 41467115,VIM,A,1157,Results > RNAi and off-target activities of siRNAs with chemical modifications; paragraph 10,,transcriptome-wide,,,tx_wide,The effects on off-target genes were validated by microarray and RT-qPCR analyses.
3,6,RGLS4326,,B,1410,Results > RGLS4326 inhibits AMPAR ligand binding and function; paragraph 10,,AMPAR,,,explicit,devoid of off-target AMPAR interaction and CNS toxicity while preserving the potency against the on-target miR-17.
4,7,APP-AON/ATXN3-AON/HTT-AON panel from PMID 41066632,,A,1442,Results > Hybridization-dependent off-target splicing events do not play a major role after transfection; paragraph 19,,transcriptome-wide,,,tx_wide,"In this study, we used three different splice-switching AONs targeting three different human transcripts to study their transcriptome-wide, hybridization-dependent off-target effects with short read RNAseq."
5,8,PNA-braced ASO panel from PMID 38042877,,A,1136,Results > Hybridization-dependent mechanism: complementary PNA strand mitigates off-target hybridizations; paragraph 31,,unspecified,,,no_match,"In this study, we engineer an in vivo operative TMSD system and demonstrate that it enhances the target specificity of conventional ASOs by concurrently mitigating both hybridization-independent and -dependent off-target interactions."
6,9,DM1 ASO panel from PMID 37200862,DMPK,A,1481,Results > RNA-seq reveals activation of the interferon response by all ASOs and additional off-target effects on gene expression by the repeat gapmer; paragraph 3,,transcriptome-wide,,,tx_wide,"by performing RNA sequencing (RNA-seq) for cells after ASO treatment, we assessed both on- and off-target effects of the ASOs on a transcriptome-wide level."
7,10,ALN-HBV/ALN-HBV02 GalNAc-siRNA panel from PMID 35736224,HBV,A,1411,RESULTS > Application of ESC+ design to improve the specificity and safety of ALN-HBV; paragraph 46,,unspecified,,,no_match,"We found that the ESC+ version of ALN-HBV, named ALN-HBV02, with a single GNA substitution at position 6 of the guide strand, and without any further changes in sequence or chemistry, minimizes off-target dysregulation without compromising on-target activity."
8,11,GalNAc-siRNA panel from PMID 29459660,,A,2058,Results > siRNA off-targets are enriched for seed complementarity; paragraph 17,,transcriptome-wide,,,tx_wide,"Consistent with these data, global transcriptome profiling by RNAseq shows RISC loading-dependent downregulation of RNAs enriched for a seed match to the antisense but not the sense strand of GalNAc-siRNAs."
10,13,GSK2910546A ASO gapmer panel from PMID 26338776,BACH1,A,2813,RESULTS > Intronic regions are markedly more susceptible to ASO-silencing than exonic sequence; paragraph 24,,unspecified,,,no_match,We demonstrate in vitro mRNA and protein knockdown of off-targets with a wide range of mismatch (MM) and gap patterns.
12,81,siRNA candidate from PMID 41020503,,B,2454,Results > Modified UNAs mitigate off-target activity without reducing on-target activity in cell culture; paragraph 69,,unspecified,,,no_match,reduced off-target effects compared to siRNA modified with UNA.
