candidate_id,pmid,domain,source_location,v1_decision,v1_grade,re_adjudication_decision,re_adjudication_reason,sampling_stratum,error_category
10454,41399434,offtarget,Results > Human B-NHL treated with WAS siRNA-loaded NPs attenuates tumor growth in vivo; paragraph 21,accept,C,reject,Verified full text evidence at Results > Human B-NHL treated with WAS siRNA-loaded NPs attenuates tumor growth in vivo; paragraph 21: primary offtarget support for off-target evidence in an oligonucle,b009mega,domain_confusion
10851,29390093,offtarget,RESULTS > Hybridization-dependent toxicity is not likely to account for the 2′ F PS-ASO-induced hepatotoxicity; Figure 5. caption,accept,A,accept,Verified full text evidence at RESULTS > Hybridization-dependent toxicity is not likely to account for the 2′ F PS-ASO-induced hepatotoxicity; Figure 5. caption: primary offtarget support for transcri,b009mega,
13701,40812551,offtarget,PubMed abstract,accept,B,reject,Verified PubMed abstract evidence at PubMed abstract: primary offtarget support for hybridization/mismatch off-target effect in an oligonucleotide context.,b009mega,domain_confusion
1638,40882634,toxicity,Abstract; paragraph 2,accept,C,accept,accepted: full text source supports primary oligonucleotide toxicity evidence for immune activation; location=Abstract; paragraph 2.,b003,
15892,36762732,toxicity,,reject,,reject,reject reason: out-of-scope organism or non-therapeutic oligonucleotide context,b009mega,
12892,41524302,toxicity,,reject,,reject,reject reason: no therapeutic oligonucleotide/siRNA/ASO safety modality supported by source context,b009mega,
11721,27327137,offtarget,Results > LNA-i-miR-221 is detectable in xenografted tumors and mouse organs by in situ hybridization; paragraph 5,accept,A,reject,Verified full text evidence at Results > LNA-i-miR-221 is detectable in xenografted tumors and mouse organs by in situ hybridization; paragraph 5: primary offtarget support for hybridization/mismatch ,b009mega,domain_confusion
3177,41704233,toxicity,Results and discussion > Assessment of hepatotoxicity and kidney function; paragraph 15,accept,A,accept,accepted: verified Results hepatotoxicity/kidney-function assessment after intranasal peptide-mannan RNA polyplex dosing; serum biochemistry and histology showed no significant toxicity.,b007,
1719,35464859,offtarget,Discussion; paragraph 62,accept,B,accept,accepted: full text source supports primary oligonucleotide offtarget evidence for transcriptome-level off-target effect; location=Discussion; paragraph 62.,b003,
10810,35027752,toxicity,PubMed abstract,accept,B,accept,Verified PubMed abstract evidence at PubMed abstract: primary toxicity support for systemic safety/tolerability in an oligonucleotide context.,b009mega,
12063,42074213,toxicity,,reject,,reject,"reject reason: review/background article, not primary release evidence",b009mega,
1195,40584785,toxicity,Results and Discussion > Analysis of the Gene Silencing Effect Exerted of siRNA Delivered Using H2.1MS1KN and H2.1MS1:MS2KN Spheres; paragraph 47,accept,B,reject,accepted: verified primary siRNA silk-sphere delivery paragraph; MTT evidence indicated the particles did not directly reduce cellular metabolism/cell viability.,b007,domain_confusion
11702,31375812,offtarget,Results > Di-siRNA modulates HTT expression with minimal off-target events; paragraph 33,accept,A,accept,Verified full text evidence at Results > Di-siRNA modulates HTT expression with minimal off-target events; paragraph 33: primary offtarget support for seed-mediated off-target effect in an oligonucleo,b009mega,
983,42155080,toxicity,INTRODUCTION; paragraph 5,reject,B,reject,reject reason: source text is background/narrative rather than primary result,b003,
