pmid,source_type,reuse_category,license_status,priority,query_label,score,title,journal,publication_year
42225919,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_offtarget_safety_2024_2026,3,Co-overexpression of ELOVL2 and ELOVL5 promotes clear cell renal cell carcinoma progression through LIMK1-mediated cytoskeletal reorganization.,Sci Rep,2026
42225274,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_toxicity_safety_2024_2026,3,tRF-1-ArgTCG-1-1 promotes renal fibrosis by regulating β-catenin.,Ren Fail,2026
42226280,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_offtarget_safety_2024_2026,0,Comparative evaluation of chitosan-based and star polycation nanocarriers for enhanced RNAi efficacy targeting CmFibL in Cnaphalocrocis medinalis.,Pest Manag Sci,2026
42226100,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_offtarget_safety_2024_2026,0,Exendin-4 averts all-trans-retinal-driven damage to photoreceptors and the retina via the GLP-1R/PKA/CREB1 signaling axis.,Cell Mol Biol Lett,2026
42226067,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,oligo_prediction_benchmark_2023_2026,0,Hypoxic preconditioning drives metabolic reprogramming to increase the therapeutic efficacy of adipose mesenchymal stem cells in diabetic wounds.,J Transl Med,2026
42225435,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_rnai_offtarget_broad_2010_2026,0,RNAi-Mediated Functional Characterization of Chorion Peroxidase as a Dual-Impact Target for Sustainable Control of Spodoptera frugiperda.,J Agric Food Chem,2026
42225163,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_rnai_offtarget_broad_2010_2026,0,Rosavin mitigates hepatic fibrosis via KLF14-mediated suppression of P2X7 receptor-dependent inflammatory signaling cascades.,J Ethnopharmacol,2026
42224868,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_rnai_offtarget_broad_2010_2026,0,E3 Ligase KPC1 promotes sepsis-induced liver injury via ubiquitination and processing of NF-κB1 p105 in kupffer cells.,Tissue Cell,2026
42224504,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_offtarget_safety_2024_2026,0,"Aggregation Pheromone (2E,6E)-Farnesyl Acetate Drives Attraction and Reproduction in Megalurothrips usitatus.",J Agric Food Chem,2026
42224458,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_offtarget_transcriptome_2023_2026,0,Alternative splicing of Scn9a exon 5: mechanistic insights and therapeutic potential in pain disorders.,Hum Mol Genet,2026
42224376,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_safety_toxicology_broad_2010_2026,0,Performance of Local Large Language Models for Adjudicating Heart Failure Hospitalizations.,Circulation,2026
42224297,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_safety_toxicology_broad_2010_2026,0,Targeting BRD2 and BRD4 inhibit the growth of KSHV-infected immortalized endothelial cells through suppression of LANA translation.,PLoS Pathog,2026
42224092,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_rnai_offtarget_broad_2010_2026,0,WDR72 Drives Esophageal Squamous Cell Carcinoma Progression by Inhibiting Autophagy via the PI3K/Akt/mTOR Pathway.,Kaohsiung J Med Sci,2026
42224049,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_rnai_offtarget_broad_2010_2026,0,Autologous cell-derived exosomes as precision nanocarriers for enhanced targeted drug delivery and therapeutic efficacy in parental tumor cells.,J Microencapsul,2026
42150305,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_innate_immune_tlr_2020_2026,0,"Graphene field-effect transistor microarray with simple preparation method, good stability, and high sensitivity for bioassay.",Biosens Bioelectron,2026
41501187,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,oligo_prediction_benchmark_2023_2026,0,Technical reliability of genotyping SNPs for forensic DNA phenotyping using SNaPshot- and MPS-based assays.,Int J Legal Med,2026
41500296,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,oligo_prediction_benchmark_2023_2026,0,ALKBH5 enhances cadmium-induced stemness enrichment and proliferation of colon cancer cells via m6A-dependent regulation of AXIN2 and activation of Wnt/β-catenin signaling.,Chem Biol Interact,2026
37390940,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_immune_complement_safety_2023_2026,0,"1,5-Dicaffeoylquinic acid from Pseudognaphalium affine ameliorates dry eye disease via suppression of inflammation and protection of the ocular surface.",Ocul Surf,2023
37380611,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_thrombocytopenia_complement_2020_2026,0,"Transient Transcription Machineries Modulate Dynamic Functions of G-Quadruplexes: Temporal Regulation of Biocatalytic Circuits, Gene Replication and Transcription.",Angew Chem Int Ed Engl,2023
37377065,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_thrombocytopenia_complement_2020_2026,0,Regulation of thrombin activity by ligand-induced topological alteration in a thrombin-binding aptamer.,Chem Commun (Camb),2023
37373287,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,Less Severe Lipopolysaccharide-Induced Inflammation in Conditional mgmt-Deleted Mice with LysM-Cre System: The Loss of DNA Repair in Macrophages.,Int J Mol Sci,2023
37370069,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_thrombocytopenia_complement_2020_2026,0,Post-prandial analysis of fluctuations in the platelet count and platelet function in patients with the familial chylomicronemia syndrome.,Orphanet J Rare Dis,2023
37366977,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_sequence_dependent_toxicity_2020_2026,0,Recent Aptamer-Based Biosensors for Cd(2+) Detection.,Biosensors (Basel),2023
37365539,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,Long-wave opsin involved in body color plastic development in Nilaparvata lugens.,BMC Genomics,2023
