id,queue_id,pmid,doi,evidence_domain,candidate_modality,source_location,matched_terms,candidate_signal,suggested_evidence_grade,confidence_label,validation_status,curator_decision,redistribution_level,source_title
2,6,41078095,10.1002/cbic.202500584,chemistry,ASO,PubMed abstract sentence 2,chemical;modification,"chemistry candidate; matched derived terms: chemical, modification; source title: Toxicity of Antisense Oligonucleotides is Determined by the Synergistic Interplay of Chemical Modifications and Nucleotide Sequences",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Toxicity of Antisense Oligonucleotides is Determined by the Synergistic Interplay of Chemical Modifications and Nucleotide Sequences
3,7,41078095,10.1002/cbic.202500584,toxicity,ASO,PubMed abstract sentence 6,toxicity;toxic;hepatotoxicity,"toxicity candidate; matched derived terms: toxicity, toxic, hepatotoxicity; source title: Toxicity of Antisense Oligonucleotides is Determined by the Synergistic Interplay of Chemical Modifications and Nucleotide Sequences",B,high_candidate,machine_precurated_v1,accept,derived_annotations_only,Toxicity of Antisense Oligonucleotides is Determined by the Synergistic Interplay of Chemical Modifications and Nucleotide Sequences
6,12,39912803,10.1089/nat.2024.0072,offtarget,ASO,PubMed abstract sentence 1,off-target;hybridization;unintended,"offtarget candidate; matched derived terms: off-target, hybridization, unintended; source title: Assessing Hybridization-Dependent Off-Target Risk for Therapeutic Oligonucleotides: Updated Industry Recommendations.",B,high_candidate,curator_rejected,reject,derived_annotations_only,Assessing Hybridization-Dependent Off-Target Risk for Therapeutic Oligonucleotides: Updated Industry Recommendations.
7,13,39912803,10.1089/nat.2024.0072,benchmark,ASO,PubMed abstract sentence 7,model;prediction,"benchmark candidate; matched derived terms: model, prediction; source title: Assessing Hybridization-Dependent Off-Target Risk for Therapeutic Oligonucleotides: Updated Industry Recommendations.",C,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Assessing Hybridization-Dependent Off-Target Risk for Therapeutic Oligonucleotides: Updated Industry Recommendations.
8,16,38192001,10.1093/bioinformatics/btae011,offtarget,siRNA,PubMed abstract sentence 2,off-target;seed,"offtarget candidate; matched derived terms: off-target, seed; source title: SeedMatchR: identify off-target effects mediated by siRNA seed regions in RNA-seq experiments.",B,high_candidate,curator_rejected,reject,derived_annotations_only,SeedMatchR: identify off-target effects mediated by siRNA seed regions in RNA-seq experiments.
10,20,41760661,10.1038/s41467-026-69980-2,chemistry,ASO,PubMed abstract sentence 1,modified;phosphorothioate,"chemistry candidate; matched derived terms: modified, phosphorothioate; source title: Dysregulation of the DNA damage response by phosphorothioate antisense oligonucleotides.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Dysregulation of the DNA damage response by phosphorothioate antisense oligonucleotides.
11,21,41760661,10.1038/s41467-026-69980-2,toxicity,ASO,PubMed abstract sentence 6,toxic;dna damage,"toxicity candidate; matched derived terms: toxic, dna damage; source title: Dysregulation of the DNA damage response by phosphorothioate antisense oligonucleotides.",B,high_candidate,machine_precurated_v1,accept,derived_annotations_only,Dysregulation of the DNA damage response by phosphorothioate antisense oligonucleotides.
13,25,40877521,10.1007/978-1-0716-4742-4_24,chemistry,siRNA,PubMed abstract sentence 7,chemical;modification;modified,"chemistry candidate; matched derived terms: chemical, modification, modified; source title: siRMSD: A Structural Parameter to Reduce Sequence-Dependent Off-Target Effects for siRNA Design with Chemical Modifications.",B,high_candidate,curator_verified,accept,derived_annotations_only,siRMSD: A Structural Parameter to Reduce Sequence-Dependent Off-Target Effects for siRNA Design with Chemical Modifications.
14,26,40877521,10.1007/978-1-0716-4742-4_24,offtarget,siRNA,PubMed abstract sentence 4,off-target;seed;unintended,"offtarget candidate; matched derived terms: off-target, seed, unintended; source title: siRMSD: A Structural Parameter to Reduce Sequence-Dependent Off-Target Effects for siRNA Design with Chemical Modifications.",B,high_candidate,machine_precurated_v1,accept,derived_annotations_only,siRMSD: A Structural Parameter to Reduce Sequence-Dependent Off-Target Effects for siRNA Design with Chemical Modifications.
16,30,37589246,10.1002/jcph.2337,chemistry,siRNA,PubMed abstract sentence 5,galnac;lna;conjugate,"chemistry candidate; matched derived terms: galnac, lna, conjugate; source title: Pharmacokinetics and Pharmacodynamics of GalNAc-Conjugated siRNAs.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Pharmacokinetics and Pharmacodynamics of GalNAc-Conjugated siRNAs.
17,31,37589246,10.1002/jcph.2337,delivery,siRNA,PubMed abstract sentence 5,galnac;conjugated,"delivery candidate; matched derived terms: galnac, conjugated; source title: Pharmacokinetics and Pharmacodynamics of GalNAc-Conjugated siRNAs.",C,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Pharmacokinetics and Pharmacodynamics of GalNAc-Conjugated siRNAs.
18,34,38204162,10.1016/j.ymthe.2024.01.005,delivery,siRNA,PubMed abstract sentence 6,delivery;nanoparticle,"delivery candidate; matched derived terms: delivery, nanoparticle; source title: The landscape of nanoparticle-based siRNA delivery and therapeutic development.",C,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,The landscape of nanoparticle-based siRNA delivery and therapeutic development.
19,35,38204162,10.1016/j.ymthe.2024.01.005,toxicity,siRNA,PubMed abstract sentence 2,toxicity;toxic;renal,"toxicity candidate; matched derived terms: toxicity, toxic, renal; source title: The landscape of nanoparticle-based siRNA delivery and therapeutic development.",B,high_candidate,curator_rejected,reject,derived_annotations_only,The landscape of nanoparticle-based siRNA delivery and therapeutic development.
20,38,38334488,10.1097/MED.0000000000000857,delivery,siRNA,PubMed abstract sentence 8,galnac;conjugated,"delivery candidate; matched derived terms: galnac, conjugated; source title: APOC3 siRNA and ASO therapy for dyslipidemia.",C,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,APOC3 siRNA and ASO therapy for dyslipidemia.
21,41,38362953,10.1002/cpt.3204,toxicity,ASO,PubMed abstract sentence 12,safety;risk;proarrhythmic,"toxicity candidate; matched derived terms: safety, risk, proarrhythmic; source title: Scientific Review of the Proarrhythmic Risks of Oligonucleotide Therapeutics: Are Dedicated ICH S7B/E14 Studies Needed for Low-Risk Modalities?",B,high_candidate,curator_rejected,reject,derived_annotations_only,Scientific Review of the Proarrhythmic Risks of Oligonucleotide Therapeutics: Are Dedicated ICH S7B/E14 Studies Needed for Low-Risk Modalities?
