row_id,offtarget_row_id,pmid,pmcid,old_offtarget_gene_symbol,new_offtarget_gene_symbol,confidence,curator_initials,curator_date,notes,rule
1,1,41994868,PMC13096799,unspecified,unspecified,high,LQ,2026-06-07,"Luciferase off-target reporter result; si-47/si-50 are oligo IDs, no off-target gene named.",no_change
2,2,41467115,PMC12744844,transcriptome-wide,transcriptome-wide,high,LQ,2026-06-07,Microarray/RT-qPCR validation of seed-match transcript effects; VIM is intended target; no specific off-target gene named.,no_change
3,4,41066632,PMC12581821,transcriptome-wide,transcriptome-wide,high,LQ,2026-06-07,Short-read RNAseq transcriptome-wide AON off-target assessment; no specific off-target gene named.,no_change
4,5,38042877,PMC10693639,unspecified,unspecified,high,LQ,2026-06-07,TMSD/BRO system mitigates off-target interactions; passage names no off-target gene.,no_change
5,6,37200862,PMC10185704,transcriptome-wide,transcriptome-wide,high,LQ,2026-06-07,RNA-seq assesses ASO on/off-target effects transcriptome-wide; no off-target gene named; DMPK/MBNL1 are disease/on-target context.,no_change
6,7,35736224,PMC9262600,unspecified,unspecified,high,LQ,2026-06-07,ALN-HBV/ALN-HBV02/VIR-2218 and GNA are drug/chemistry terms; viral HBV is intended target; no off-target gene named.,no_change
7,8,29459660,PMC5818625,transcriptome-wide,transcriptome-wide,high,LQ,2026-06-07,Global RNAseq shows seed-enriched downregulation; no individual off-target gene named.,no_change
8,10,26338776,PMC4605310,unspecified,unspecified,high,LQ,2026-06-07,BACH1 is intended ASO target; off-targets are discussed but not named in excerpt.,no_change
9,59,40672232,PMC12265680,transcriptome-wide,transcriptome-wide,high,LQ,2026-06-07,Transcriptome-wide off-target RNA editing comparison; no specific off-target gene named.,no_change
10,60,40503175,PMC12156227,transcriptome-wide,FAH;TNFRSF10B;EGR1;PAK2;PCSK7,high,LQ,2026-06-07,Five non-target genes explicitly downregulated; rat symbols normalized to human HGNC orthologues; CIDEB is intended target and excluded.,update
11,62,34648028,PMC8565336,unspecified,unspecified,high,LQ,2026-06-07,Improved off-target profile of GalNAc-siRNAs; no off-target gene named.,no_change
12,63,33664996,PMC7900643,unspecified,unspecified,medium,LQ,2026-06-07,"v2 quote NONE; excerpt gives general seed-matched off-target framing and intended E6/E7/miRNA design context, no specific off-target gene.",no_change
13,64,31375812,PMC6879195manuscript-id: NIHMS1533065,transcriptome-wide,transcriptome-wide,high,LQ,2026-06-07,"Genome-wide RNA-seq in Di-siRNAHTT-treated NHP brain; HTT is intended target/outlier, other changes unnamed.",no_change
14,66,28918038,PMC5537172,transcriptome-wide,transcriptome-wide,high,LQ,2026-06-07,Transcriptome profiling/pathway analysis correlates OTE burden with toxicity; no specific off-target gene named.,no_change
15,67,26553810,PMC4797265,unspecified,transcriptome-wide,high,LQ,2026-06-07,Global transcriptional profiles report many unintended transcripts reduced by toxic ASOs; none named.,update
16,78,41918821,PMC13034028,unspecified,transcriptome-wide,high,LQ,2026-06-07,Global RNA/protein OffT assessment; no specific off-target gene named.,update
17,82,41859644,PMC12996677,transcriptome-wide,transcriptome-wide,high,LQ,2026-06-07,"RNA-seq plus seed off-target prediction shows no enrichment; IGF2BP2 is intended target and NRF2 is downstream biology, not an off-target call.",no_change
18,91,41552385,PMC12804371,unspecified,unspecified,high,LQ,2026-06-07,CAG/polyQ allele-selectivity context; no specific off-target gene named.,no_change
19,113,40385635,PMC12083919,unspecified,unspecified,high,LQ,2026-06-07,Potential off-target genes were qPCR-tested but not named; si098/si086 are oligo IDs.,no_change
20,116,41341748,PMC12670904,unspecified,unspecified,high,LQ,2026-06-07,Seed reporter luciferase assay; YAP1/WWTR1 are intended targets; no off-target gene named.,no_change
21,135,40928446,PMC12790151,transcriptome-wide,transcriptome-wide,high,LQ,2026-06-07,RNA-seq reports broad proliferation/interferon/apoptosis gene patterns; no specific off-target gene named.,no_change
