"feature","resource","support","group","score"
"Total curated records","OligoVigil","yes","scale",1
"Exact source location","OligoVigil","yes","provenance",1
"Curator audit trail","OligoVigil","yes","provenance",1
"Inter-curator check","OligoVigil","yes","provenance",1
"Machine-stage FAR audit","OligoVigil","yes","provenance",1
"Benchmark splits","OligoVigil","yes","reuse",1
"Deterministic baselines","OligoVigil","yes","reuse",1
"Structured assay metadata","OligoVigil","partial","metadata",0.5
"Per-position chemistry","OligoVigil","no","metadata",0
"Off-target gene resolution","OligoVigil","partial","metadata",0.5
"No-login portal","OligoVigil","yes","access",1
"API / OpenAPI","OligoVigil","yes","access",1
"Agent-readable metadata","OligoVigil","yes","access",1
"Bulk download","OligoVigil","yes","access",1
"Versioned release","OligoVigil","yes","access",1
"Named maintainer","OligoVigil","yes","access",1
"Total curated records","theRNA","yes","scale",1
"Exact source location","theRNA","yes","provenance",1
"Curator audit trail","theRNA","partial","provenance",0.5
"Inter-curator check","theRNA","no","provenance",0
"Machine-stage FAR audit","theRNA","no","provenance",0
"Benchmark splits","theRNA","no","reuse",0
"Deterministic baselines","theRNA","no","reuse",0
"Structured assay metadata","theRNA","partial","metadata",0.5
"Per-position chemistry","theRNA","partial","metadata",0.5
"Off-target gene resolution","theRNA","no","metadata",0
"No-login portal","theRNA","yes","access",1
"API / OpenAPI","theRNA","partial","access",0.5
"Agent-readable metadata","theRNA","no","access",0
"Bulk download","theRNA","partial","access",0.5
"Versioned release","theRNA","partial","access",0.5
"Named maintainer","theRNA","yes","access",1
"Total curated records","siRNAEfficacyDB","yes","scale",1
"Exact source location","siRNAEfficacyDB","partial","provenance",0.5
"Curator audit trail","siRNAEfficacyDB","no","provenance",0
"Inter-curator check","siRNAEfficacyDB","no","provenance",0
"Machine-stage FAR audit","siRNAEfficacyDB","no","provenance",0
"Benchmark splits","siRNAEfficacyDB","partial","reuse",0.5
"Deterministic baselines","siRNAEfficacyDB","no","reuse",0
"Structured assay metadata","siRNAEfficacyDB","yes","metadata",1
"Per-position chemistry","siRNAEfficacyDB","no","metadata",0
"Off-target gene resolution","siRNAEfficacyDB","no","metadata",0
"No-login portal","siRNAEfficacyDB","yes","access",1
"API / OpenAPI","siRNAEfficacyDB","partial","access",0.5
"Agent-readable metadata","siRNAEfficacyDB","no","access",0
"Bulk download","siRNAEfficacyDB","partial","access",0.5
"Versioned release","siRNAEfficacyDB","partial","access",0.5
"Named maintainer","siRNAEfficacyDB","yes","access",1
"Total curated records","CMsiRNAdb","yes","scale",1
"Exact source location","CMsiRNAdb","partial","provenance",0.5
"Curator audit trail","CMsiRNAdb","no","provenance",0
"Inter-curator check","CMsiRNAdb","no","provenance",0
"Machine-stage FAR audit","CMsiRNAdb","no","provenance",0
"Benchmark splits","CMsiRNAdb","no","reuse",0
"Deterministic baselines","CMsiRNAdb","no","reuse",0
"Structured assay metadata","CMsiRNAdb","partial","metadata",0.5
"Per-position chemistry","CMsiRNAdb","yes","metadata",1
"Off-target gene resolution","CMsiRNAdb","no","metadata",0
"No-login portal","CMsiRNAdb","yes","access",1
"API / OpenAPI","CMsiRNAdb","partial","access",0.5
"Agent-readable metadata","CMsiRNAdb","no","access",0
"Bulk download","CMsiRNAdb","partial","access",0.5
"Versioned release","CMsiRNAdb","partial","access",0.5
"Named maintainer","CMsiRNAdb","yes","access",1
"Total curated records","siRNAmod","yes","scale",1
"Exact source location","siRNAmod","partial","provenance",0.5
"Curator audit trail","siRNAmod","no","provenance",0
"Inter-curator check","siRNAmod","no","provenance",0
"Machine-stage FAR audit","siRNAmod","no","provenance",0
"Benchmark splits","siRNAmod","no","reuse",0
"Deterministic baselines","siRNAmod","no","reuse",0
"Structured assay metadata","siRNAmod","no","metadata",0
"Per-position chemistry","siRNAmod","yes","metadata",1
"Off-target gene resolution","siRNAmod","no","metadata",0
"No-login portal","siRNAmod","no","access",0
"API / OpenAPI","siRNAmod","no","access",0
"Agent-readable metadata","siRNAmod","no","access",0
"Bulk download","siRNAmod","partial","access",0.5
"Versioned release","siRNAmod","partial","access",0.5
"Named maintainer","siRNAmod","partial","access",0.5
"Total curated records","CRISPRoffT","yes","scale",1
"Exact source location","CRISPRoffT","partial","provenance",0.5
"Curator audit trail","CRISPRoffT","partial","provenance",0.5
"Inter-curator check","CRISPRoffT","no","provenance",0
"Machine-stage FAR audit","CRISPRoffT","no","provenance",0
"Benchmark splits","CRISPRoffT","partial","reuse",0.5
"Deterministic baselines","CRISPRoffT","no","reuse",0
"Structured assay metadata","CRISPRoffT","partial","metadata",0.5
"Per-position chemistry","CRISPRoffT","no","metadata",0
"Off-target gene resolution","CRISPRoffT","yes","metadata",1
"No-login portal","CRISPRoffT","yes","access",1
"API / OpenAPI","CRISPRoffT","partial","access",0.5
"Agent-readable metadata","CRISPRoffT","partial","access",0.5
"Bulk download","CRISPRoffT","partial","access",0.5
"Versioned release","CRISPRoffT","partial","access",0.5
"Named maintainer","CRISPRoffT","yes","access",1
