table_name,column_name,description,release_status
evidence_release,evidence_domain,Release evidence domain: toxicity or offtarget,release
evidence_release,entity_table,Underlying release table: toxicity_endpoint or offtarget_evidence,release
evidence_release,evidence_id,Stable row identifier within the entity_table,release
evidence_release,canonical_name,Molecule/cohort/source-derived entity label,release
evidence_release,modality,Oligonucleotide modality where curated,release
evidence_release,target_gene_symbol,Target gene symbol where curated; incomplete in current release,release
evidence_release,disease_context,Disease or biological context where curated,release
evidence_release,sense_sequence,Sense strand sequence when curator verified; sparse in current release,release
evidence_release,antisense_sequence,Antisense strand sequence when curator verified; sparse in current release,release
evidence_release,guide_sequence,Guide strand sequence when curator verified; sparse in current release,release
evidence_release,passenger_sequence,Passenger strand sequence when curator verified; sparse in current release,release
evidence_release,seed_region,Seed region when curator verified; sparse in current release,release
evidence_release,backbone_chemistry,Backbone chemistry annotation when curator verified,release
evidence_release,sugar_modification,Sugar modification annotation when curator verified,release
evidence_release,base_modification,Base modification annotation when curator verified,release
evidence_release,conjugate_delivery,Conjugate or delivery chemistry annotation when curator verified,release
evidence_release,sequence_annotation_status,Sequence curation status for the linked molecule/cohort,release
evidence_release,modification_annotation_status,Chemistry/modification curation status for the linked molecule/cohort,release
evidence_release,category,Toxicity endpoint category or off-target category,release
evidence_release,evidence_label,Endpoint or off-target evidence label,release
evidence_release,evidence_grade,Curator-assigned evidence grade A/B/C,release
evidence_release,source_location,Exact source location supporting the evidence claim,release
evidence_release,source_document_id,Source identifier matching source_document.id,release
evidence_release,source_title,Source article/document title,release
evidence_release,pmid,PubMed identifier where available,release
evidence_release,source_pmcid,PubMed Central identifier where available,release
evidence_release,doi,Digital object identifier where available,release
evidence_release,source_url,Primary source URL or landing page,release
evidence_release,source_license_status,Conservative source license status inherited from source_document,release
evidence_release,source_reuse_category,Conservative reuse category inherited from source_document,release
evidence_release,curation_basis,Derived annotation basis; no raw article text is redistributed,release
evidence_release,raw_quote_included,Always false for release export,release
evidence_release,is_observed_experimental,Flag for observed experimental evidence,release
evidence_release,is_computational_prediction,Flag for computational-only evidence,release
evidence_release,audit_validation_status,Audit validation status for the release row,release
evidence_release,curator_decision,Curator decision; release rows must be accept,release
evidence_release,curator_id,Curator identifier if retained; may be redacted,release
evidence_release,audit_note,Human audit note supporting the release decision,release
evidence_release,audited_at,Audit timestamp or batch timestamp,release
source_document,id,Internal source identifier,release
