id,molecule_id,assay_id,offtarget_gene_symbol,offtarget_transcript_id,evidence_type,measured_effect,effect_unit,match_type,seed_match_length,is_observed_experimental,is_computational_prediction,source_document_id,source_location,evidence_grade
1,4,4,unspecified,,seed-mediated off-target effect,,,seed,7,1,0,1031,Results > Analysis of miRNA-like off-target activity in a luciferase reporter assay; paragraph 3,A
2,5,5,transcriptome-wide,,seed-mediated off-target effect,,,seed,7,1,0,1157,Results > RNAi and off-target activities of siRNAs with chemical modifications; paragraph 10,A
3,6,6,AMPAR,,off-target evidence,,,off-target pharmacology,,1,0,1410,Results > RGLS4326 inhibits AMPAR ligand binding and function; paragraph 10,B
4,7,7,transcriptome-wide,,hybridization/mismatch off-target effect,,,hybridization/mismatch,,1,0,1442,Results > Hybridization-dependent off-target splicing events do not play a major role after transfection; paragraph 19,A
5,8,8,unspecified,,hybridization/mismatch off-target effect,,,hybridization/mismatch,,1,0,1136,Results > Hybridization-dependent mechanism: complementary PNA strand mitigates off-target hybridizations; paragraph 31,A
6,9,9,transcriptome-wide,,transcriptome-level off-target effect,,,transcriptome,,1,0,1481,Results > RNA-seq reveals activation of the interferon response by all ASOs and additional off-target effects on gene expression by the repeat gapmer; paragraph 3,A
7,10,10,unspecified,,seed-mediated off-target effect,,,seed,7,1,0,1411,RESULTS > Application of ESC+ design to improve the specificity and safety of ALN-HBV; paragraph 46,A
8,11,11,transcriptome-wide,,seed-mediated off-target effect,,,seed,7,1,0,2058,Results > siRNA off-targets are enriched for seed complementarity; paragraph 17,A
10,13,13,unspecified,,hybridization/mismatch off-target effect,,,hybridization/mismatch,,1,0,2813,RESULTS > Intronic regions are markedly more susceptible to ASO-silencing than exonic sequence; paragraph 24,A
12,81,81,unspecified,,seed-mediated off-target effect,,,seed,,1,0,2454,Results > Modified UNAs mitigate off-target activity without reducing on-target activity in cell culture; paragraph 69,B
13,100,100,unspecified,,hybridization/mismatch off-target effect,,,mismatch,,1,0,2306,RESULTS > INRI-seq identifies direct PNA off-targets; paragraph 50,B
15,102,102,unspecified,,off-target evidence,,,,,1,0,4230,Results > Combination of MOE at Positions 9 and 10 with OMe at Position 14 Diminished or Eliminated Off-Target Effects; paragraph 17,B
16,126,127,unspecified,,sequence-specificity/off-target evidence,,,specificity,,1,0,5621,3. Results > 3.1. Allele-Specific Silencing Reduces TDP-43 Mislocalization in ALS Motor Neurons; paragraph 21,B
19,134,137,transcriptome-wide,,seed-mediated off-target effect,,,seed,,1,0,1497,Introduction; paragraph 5,C
20,135,139,transcriptome-wide,,seed-mediated off-target effect,,,seed,,1,0,1154,Discussion; paragraph 27,C
21,136,140,YY1;FADD,,sequence-specificity/off-target evidence,,,specificity,,1,0,12147,Results and Discussion; paragraph 13,C
22,137,141,unspecified,,seed-mediated off-target effect,,,seed,,1,0,12077,Results and discussion > Genome-wide evaluation of off-target activities; paragraph 77,C
23,138,142,unspecified,,seed-mediated off-target effect,,,seed,,1,0,1484,Results and Discussion > Off-Target Effects of siRNAs Modified with 2′-F/Me; Figure 5 caption,C
24,139,143,transcriptome-wide,,seed-mediated off-target effect,,,seed,,1,0,2255,Introduction; paragraph 4,C
25,140,144,unspecified,,seed-mediated off-target effect,,,seed,,1,0,2308,1. Introduction; paragraph 4,C
26,141,145,transcriptome-wide,,hybridization/mismatch off-target effect,,,mismatch,,1,0,2113,Introduction; paragraph 4,C
27,142,146,transcriptome-wide,,seed-mediated off-target effect,,,seed,,1,0,2117,Results and Discussion; paragraph 20,C
28,143,147,transcriptome-wide,,seed-mediated off-target effect,,,seed,,1,0,2246,Abstract; paragraph 1,C
33,212,228,unspecified,,seed-mediated off-target effect,,,seed,,1,0,3759,Discussion; paragraph 15,B
36,215,231,transcriptome-wide,,transcriptome-level off-target effect,,,transcriptome,,1,0,2210,Discussion; paragraph 62,B
40,218,235,TUBULIN;PKC;SURVIVIN;MCL-1;BCL-XL,,off-target evidence,,,off-target,,1,0,2845,RESULTS AND DISCUSSION > Gene silencing by gymnotic delivery is a general phenomenon; paragraph 15,A
42,253,289,AGO4;AGO1;AGO2,,seed-mediated off-target effect,,,seed,,1,0,1011,PubMed abstract,B
44,186,291,transcriptome-wide,,transcriptome-level off-target effect,,,transcriptome,,1,0,2193,PubMed abstract,B
47,186,294,transcriptome-wide,,transcriptome-level off-target effect,,,transcriptome,,1,0,2216,PubMed abstract,B
49,256,296,unspecified,,hybridization/mismatch off-target effect,,,mismatch,,1,0,12115,PubMed abstract,B
50,257,297,transcriptome-wide,,transcriptome-level off-target effect,,,transcriptome,,1,0,12059,PubMed abstract,B
51,328,410,transcriptome-wide,,transcriptome-level off-target effect,,,transcriptome,,1,0,1037,PubMed abstract,B
56,370,472,HSPA5;PDIA3;CALU;LGALS1;TPI1,,off-target evidence,,,off-target,,1,0,2270,PubMed abstract,B
59,989,536,transcriptome-wide,,transcriptome-level off-target effect,,,transcriptome,,1,0,1824,RESULTS > RNP delivery reduces transcriptome-wide off-target editing; paragraph 22,A
60,434,537,FAH;TNFRSF10B;EGR1;PAK2;PCSK7,,seed-mediated off-target effect,,,seed,,1,0,9324,Results > Minimal off-target activity of GalNAc-siCIDEB; paragraph 8,A
62,435,539,unspecified,,seed-mediated off-target effect,,,seed,,1,0,2309,RESULTS > Impact of GNA isonucleotides on GalNAc-siRNA in vitro activity; paragraph 49,A
63,435,540,unspecified,,seed-mediated off-target effect,,,seed,6,1,0,12558,Results > Transcriptome-wide analyses of mi/siRNAs targeting E6/E7; paragraph 17,A
64,990,541,transcriptome-wide,,seed-mediated off-target effect,,,seed,,1,0,4213,Results > Di-siRNA modulates HTT expression with minimal off-target events; paragraph 33,A
