entity_id,entity_table,sid,molecule,pmid,pmcid,doi,title,v1_claimed_evidence_type,v1_grade,v1_claimed_location,v2_proposed_decision,v2_evidence_type,v2_domain_match,v2_in_scope,v2_grade,v2_confidence,v2_passage_kind,v2_grounding_verified,v2_grounding_quote,v2_reason,extractor_model,human_decision,human_curator_id,human_evidence_grade,human_note
1,offtarget_evidence,0,SNA-modified GalNAc-siRNA panel from PMID 41994868,41994868,PMC13096799,10.1093/nar/gkag345,Acyclic serinol nucleic acid modification of siRNAs overcomes seed region mediated off-target effects while maintaining potency.,seed-mediated off-target effect,A,Results > Analysis of miRNA-like off-target activity in a luciferase reporter assay; paragraph 3,accept,seed-mediated off-target effect,True,True,A,0.95,pmc_full_text,True,"The greatest impact of SNA modification was observed when included at position g7 in si-50, with a relative off-target IC50 increase of ~260-fold over the parent si-47.",Full-text dual-luciferase reporter results show seed-region SNA modification mitigated miRNA-like off-target activity while preserving therapeutic GalNAc-siRNA activity.,codex_gpt-5.5_manual_agent,accept,ni_jie,A,
2,offtarget_evidence,1,siVIM-270 chemical modification panel from PMID 41467115,41467115,PMC12744844,10.1016/j.omtn.2025.102693,An siRMSD parameter of structural distortion induced by chemical modification is predictive of the off-target effect of siRNA.,seed-mediated off-target effect,A,Results > RNAi and off-target activities of siRNAs with chemical modifications; paragraph 10,accept,seed-mediated off-target effect,True,True,A,0.95,pmc_full_text,True,The effects on off-target genes were validated by microarray and RT-qPCR analyses.,"Full-text reporter, microarray, and RT-qPCR assays measured endogenous seed-dependent off-target effects of chemically modified siRNAs.",codex_gpt-5.5_manual_agent,accept,ni_jie,A,
3,offtarget_evidence,2,RGLS4326,41315228,PMC12663328,10.1038/s41467-025-65799-5,The nucleobase guanine at the 3'-terminus of oligonucleotide RGLS4326 drives off-target AMPAR inhibition and CNS toxicity.,off-target evidence,B,Results > RGLS4326 inhibits AMPAR ligand binding and function; paragraph 10,accept,experimentally observed off-target toxicity,True,True,A,0.93,pmc_full_text,True,devoid of off-target AMPAR interaction and CNS toxicity while preserving the potency against the on-target miR-17.,Therapeutic anti-miR oligonucleotide SAR links RGLS4326 3-prime guanine to unintended AMPAR interaction and CNS toxicity.,codex_gpt-5.5_manual_agent,accept,ni_jie,A,
4,offtarget_evidence,3,APP-AON/ATXN3-AON/HTT-AON panel from PMID 41066632,41066632,PMC12581821,10.1093/hmg/ddaf153,Determining off-target effects of splice-switching antisense oligonucleotides using short read RNAseq in neuronally differentiated human induced pluripotent stem cells.,hybridization/mismatch off-target effect,A,Results > Hybridization-dependent off-target splicing events do not play a major role after transfection; paragraph 19,accept,transcriptome-level hybridization-dependent off-target effect,True,True,A,0.94,pmc_full_text,True,"In this study, we used three different splice-switching AONs targeting three different human transcripts to study their transcriptome-wide, hybridization-dependent off-target effects with short read RNAseq.",Full-text RNAseq study of splice-switching AONs directly assessed transcriptome-wide hybridization-dependent off-target splicing.,codex_gpt-5.5_manual_agent,accept,ni_jie,A,
5,offtarget_evidence,4,PNA-braced ASO panel from PMID 38042877,38042877,PMC10693639,10.1038/s41467-023-43714-0,Dynamic and static control of the off-target interactions of antisense oligonucleotides using toehold chemistry.,hybridization/mismatch off-target effect,A,Results > Hybridization-dependent mechanism: complementary PNA strand mitigates off-target hybridizations; paragraph 31,accept,hybridization-dependent off-target interaction,True,True,A,0.88,pmc_full_text,True,"In this study, we engineer an in vivo operative TMSD system and demonstrate that it enhances the target specificity of conventional ASOs by concurrently mitigating both hybridization-independent and -dependent off-target interactions.",Full-text ASO/PNA BROTHERS experiments report mitigation of both hybridization-dependent and independent ASO off-target interactions with in vivo toxicity readouts.,codex_gpt-5.5_manual_agent,accept,ni_jie,B,Grade adjusted A->B: PMID 38042877; pmc_full_text evidence was direct but less than full primary-detail confidence for hybridization/mismatch off-target effect.
6,offtarget_evidence,5,DM1 ASO panel from PMID 37200862,37200862,PMC10185704,10.1016/j.omtn.2023.04.010,Block or degrade? Balancing on- and off-target effects of antisense strategies against transcripts with expanded triplet repeats in DM1.,transcriptome-level off-target effect,A,Results > RNA-seq reveals activation of the interferon response by all ASOs and additional off-target effects on gene expression by the repeat gapmer; paragraph 3,accept,transcriptome-level off-target effect,True,True,A,0.93,pmc_full_text,True,"by performing RNA sequencing (RNA-seq) for cells after ASO treatment, we assessed both on- and off-target effects of the ASOs on a transcriptome-wide level.",Full-text DM1 ASO study used RNA-seq after treatment to assess on- and off-target transcriptome effects.,codex_gpt-5.5_manual_agent,accept,ni_jie,A,
7,offtarget_evidence,6,ALN-HBV/ALN-HBV02 GalNAc-siRNA panel from PMID 35736224,35736224,PMC9262600,10.1093/nar/gkac539,From bench to bedside: Improving the clinical safety of GalNAc-siRNA conjugates using seed-pairing destabilization.,seed-mediated off-target effect,A,RESULTS > Application of ESC+ design to improve the specificity and safety of ALN-HBV; paragraph 46,accept,seed-mediated off-target effect,True,True,A,0.96,pmc_full_text,True,"We found that the ESC+ version of ALN-HBV, named ALN-HBV02, with a single GNA substitution at position 6 of the guide strand, and without any further changes in sequence or chemistry, minimizes off-target dysregulation without compromising on-target activity.",Full-text therapeutic GalNAc-siRNA work used reporter/RNA-seq/safety studies to show seed-pairing destabilization reduces off-target dysregulation.,codex_gpt-5.5_manual_agent,accept,ni_jie,A,
8,offtarget_evidence,7,GalNAc-siRNA panel from PMID 29459660,29459660,PMC5818625,10.1038/s41467-018-02989-4,Selection of GalNAc-conjugated siRNAs with limited off-target-driven rat hepatotoxicity.,seed-mediated off-target effect,A,Results > siRNA off-targets are enriched for seed complementarity; paragraph 17,accept,seed-mediated off-target effect,True,True,A,0.96,pmc_full_text,True,"Consistent with these data, global transcriptome profiling by RNAseq shows RISC loading-dependent downregulation of RNAs enriched for a seed match to the antisense but not the sense strand of GalNAc-siRNAs.",Full-text GalNAc-siRNA rat hepatotoxicity study connects RISC-loaded seed-match transcriptome downregulation to observed off-target toxicity.,codex_gpt-5.5_manual_agent,accept,ni_jie,A,
9,offtarget_evidence,8,negative-control siRNA panel from PMID 29860520,29860520,PMC6093183,10.1093/nar/gky437,"Specificity of RNAi, LNA and CRISPRi as loss-of-function methods in transcriptional analysis.",transcriptome-level off-target effect,A,RESULTS > LNA and RNAi technologies are associated with non-negligible off-target effects; Figure 1. caption,reject,NA,False,False,NA,0.95,pmc_full_text,False,NONE,"Out of scope: transcriptome-wide comparison of RNAi/LNA/CRISPRi loss-of-function tools, including lncRNA biology and CRISPRi, not therapeutic oligonucleotide safety evidence.",codex_gpt-5.5_manual_agent,reject,ni_jie,C,"Reject: PMID 29860520; Out of scope: transcriptome-wide comparison of RNAi/LNA/CRISPRi loss-of-function tools, including lncRNA biology and CRISPRi, not therapeutic oligonucleotide safety evidence."
10,offtarget_evidence,9,GSK2910546A ASO gapmer panel from PMID 26338776,26338776,PMC4605310,10.1093/nar/gkv857,In silico and in vitro evaluation of exonic and intronic off-target effects form a critical element of therapeutic ASO gapmer optimization.,hybridization/mismatch off-target effect,A,RESULTS > Intronic regions are markedly more susceptible to ASO-silencing than exonic sequence; paragraph 24,accept,hybridization/mismatch off-target effect,True,True,A,0.95,pmc_full_text,True,We demonstrate in vitro mRNA and protein knockdown of off-targets with a wide range of mismatch (MM) and gap patterns.,Full-text therapeutic ASO gapmer optimization experimentally confirms mismatch/gap-pattern off-target mRNA and protein knockdown.,codex_gpt-5.5_manual_agent,accept,ni_jie,A,
11,offtarget_evidence,10,2'-diol and 3'-overhang modified STAT3 siRNA panel from PMID 41755844,41755844,PMC12933297,10.1021/jacsau.5c01765,Taming the Achilles' Heel: A Chemical and Structural Design to Address Off-Target Effects in siRNA Therapeutics.,hybridization/mismatch off-target effect,B,article body; paragraph 15,reject,NA,False,True,NA,0.88,pmc_full_text,False,NONE,"Reject under v2: source mainly reports design, strand loading, Tm, and near-complementary duplex discrimination; it explicitly leaves RISC-mediated off-target and transcriptome-wide assays for future work, so no primary observed unintended off-target effect.",codex_gpt-5.5_manual_agent,reject,ni_jie,C,"Reject: PMID 41755844; Reject under v2: source mainly reports design, strand loading, Tm, and near-complementary duplex discrimination; it explicitly leaves RISC-mediated off-target and transcriptome-wide assays for future work, so no primary observed unintended off-target effect."
12,offtarget_evidence,11,siRNA candidate from PMID 41020503,41020503,PMC12477598,10.1093/nar/gkaf937,Modified unlocked nucleic acid (MUNA) mitigates off-target effects of small interfering RNAs.,seed-mediated off-target effect,B,Results > Modified UNAs mitigate off-target activity without reducing on-target activity in cell culture; paragraph 69,accept,seed-mediated off-target effect,True,True,B,0.86,pmc_full_text,True,reduced off-target effects compared to siRNA modified with UNA.,Passage reports observed reduced seed-region off-target effects for modified UNA siRNAs; evidence is weaker/generic than named clinical candidate data.,codex_gpt-5.5_manual_agent,accept,ni_jie,C,Grade adjusted B->C: PMID 41020503; weak/generic or abstract-limited support for seed-mediated off-target effect.
13,offtarget_evidence,12,ASO candidate from PMID 36229039,36229039,PMC9825163,10.1093/nar/gkac838,INRI-seq enables global cell-free analysis of translation initiation and off-target effects of antisense inhibitors.,hybridization/mismatch off-target effect,B,RESULTS > INRI-seq identifies direct PNA off-targets; paragraph 50,accept,transcriptome-level hybridization/off-target effect,True,True,B,0.78,pmc_full_text,True,"Next, we set out to use INRI-seq to study the global effects of acpP-PNA on translation of its intended target as well as potential off-targets.",Antisense PNA inhibitor study uses transcriptome-scale INRI-seq to identify intended and potential off-target translation effects; cell-free antibacterial PNA context makes evidence weaker.,codex_gpt-5.5_manual_agent,accept,ni_jie,C,Grade adjusted B->C: PMID 36229039; weak/generic or abstract-limited support for hybridization/mismatch off-target effect.
