id,entity_table,entity_id,extraction_method,extractor_model_or_script,validation_status,curator_decision,curator_id,audit_note,audited_at
1,source_document,1,manual,none,verified,accept,editorial_seed_nonhuman,NAR official guideline source,2026-06-01T00:00:00Z
2,source_document,3,manual,none,verified,linkout_only,editorial_seed_nonhuman,Closest work; do not import raw records,2026-06-01T00:00:00Z
3,source_document,5,manual,none,verified,linkout_only,editorial_seed_nonhuman,High-overlap competitor; do not import raw records,2026-06-01T00:00:00Z
23,curation_candidate,881,curator_review_v1,promote_curator_review.py,curator_rejected,reject,ni_jie,"Reject: source location supports RNase H-mediated COL6A3 silencing/MOA, not primary ASO off-target evidence.",2026-06-01T20:27:28+00:00
24,offtarget_evidence,11,curator_review_v1,promote_curator_review.py,machine_precurated_v1,accept,machine_v1_keyword_classifier,PMC full text checked; Results paragraph tests near-complementary bulged duplex discrimination and supports reduced mismatch off-target liability.,2026-06-01T22:53:00+00:00
25,toxicity_endpoint,10,curator_review_v1,promote_curator_review.py,machine_precurated_v1,accept,machine_v1_keyword_classifier,PMC full text checked; Results figure documents mitigation of acute CNS toxicity by guanine/hypoxanthine substitution in ASOs.,2026-06-01T22:53:00+00:00
26,toxicity_endpoint,11,curator_review_v1,promote_curator_review.py,machine_precurated_v1,accept,machine_v1_keyword_classifier,PMC full text checked; Results paragraph reports nebulized siRNA knockdown with minimal cytotoxicity in THP-1 macrophage-like cells.,2026-06-01T22:53:00+00:00
27,toxicity_endpoint,12,curator_review_v1,promote_curator_review.py,machine_precurated_v1,accept,machine_v1_keyword_classifier,PMC full text checked; Results paragraph reports dose-related CNS toxicity signs and mortality after RGLS4326 administration.,2026-06-01T22:53:00+00:00
28,toxicity_endpoint,13,curator_review_v1,promote_curator_review.py,machine_precurated_v1,accept,machine_v1_keyword_classifier,PMC full text checked; Results safety section reports TEAEs after single- and multiple-dose inhaled SNS812 in healthy participants.,2026-06-01T22:53:00+00:00
29,toxicity_endpoint,14,curator_review_v1,promote_curator_review.py,machine_precurated_v1,accept,machine_v1_keyword_classifier,PMC full text checked; Results cytotoxicity section directly assays ASO conjugate effects on cell viability.,2026-06-01T22:53:00+00:00
30,toxicity_endpoint,15,curator_review_v1,promote_curator_review.py,machine_precurated_v1,accept,machine_v1_keyword_classifier,PMC full text checked; Results section supports low cytotoxic potential of siSNCA polymer nanoparticles in vitro.,2026-06-01T22:53:00+00:00
31,toxicity_endpoint,16,curator_review_v1,promote_curator_review.py,machine_precurated_v1,accept,machine_v1_keyword_classifier,PMC full text checked; Results safety section reports adverse events during siRNA plus peginterferon clinical treatment.,2026-06-01T22:53:00+00:00
32,toxicity_endpoint,17,curator_review_v1,promote_curator_review.py,machine_precurated_v1,accept,machine_v1_keyword_classifier,PMC full text checked; Results section reports H&E organ histology and ALT/AST/creatinine/BUN safety after siRNA nanoparticle dosing.,2026-06-01T22:53:00+00:00
